id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Golden Hour,Slow Stereo,indie pop,relaxed,0.45,96,0.78,0.55,0.68
12,Bass Cathedral,Voltline,electronic,intense,0.95,140,0.42,0.85,0.03
13,Rainy Window,Paper Lanterns,classical,sad,0.20,66,0.32,0.25,0.95
14,Late Night Texts,Indigo Parade,r&b,moody,0.55,88,0.63,0.70,0.40
15,Backroad Summer,Dusty Strings,country,happy,0.68,104,0.80,0.64,0.75
16,Concrete Jungle,Ray Vox,hip hop,intense,0.88,136,0.52,0.90,0.08
17,Quiet Morning,Orbit Bloom,ambient,relaxed,0.22,56,0.70,0.30,0.94
18,Neon Basement,Ray Vox,hip hop,energetic,0.85,128,0.74,0.92,0.06
19,Velvet Dusk,Neon Echo,synthwave,sad,0.60,98,0.38,0.68,0.28
20,Campfire Stories,Dusty Strings,country,relaxed,0.33,82,0.75,0.42,0.88